#,Error Name,Error Key,Description,Resolution,Commands
1,Pod Out Of Memory (OOM),pod oom,Pod is killed when it exceeds memory limits,Increase memory limits in pod spec or optimize application to use less memory,kubectl get pods -o jsonpath='{.items[*].status.containerStatuses[*].lastState.terminated.reason}' | kubectl describe pod <pod-name> | kubectl set resources deployment <name> --limits=memory=512Mi
2,CrashLoopBackOff,crashloopbackoff,Container crashes and Kubernetes keeps restarting it,"Check application logs for errors, fix the code/config, or increase startup time with initialDelaySeconds",kubectl logs <pod-name> | kubectl logs <pod-name> --previous | kubectl describe pod <pod-name>
3,ImagePullBackOff,imagepullbackoff,Kubernetes cannot pull the container image from registry,"Verify image name, tag, registry credentials, or ensure registry is accessible",kubectl describe pod <pod-name> | kubectl create secret docker-registry <secret-name> --docker-server=<registry> | kubectl set serviceaccount deployment <name> <service-account>
4,Pod Stuck in Pending,pending,Pod cannot be scheduled on any node,"Check node resources, labels/selectors, PVC availability, or resource requests",kubectl describe pod <pod-name> | kubectl top nodes | kubectl get events --sort-by='.lastTimestamp'
5,Init:0 Container Status,init:0,Init container failed during startup sequence,"Check init container logs to identify the failure, fix configuration, or dependencies",kubectl logs <pod-name> -c <init-container-name> | kubectl describe pod <pod-name> | grep Init | kubectl logs <pod-name> --previous
6,Pod Evicted,evicted,Pod is forcibly removed due to node resource pressure,"Increase node resources, optimize pod resource usage, or add more nodes",kubectl describe pod <pod-name> | grep Reason | kubectl get events | kubectl top pod <pod-name>
7,Back-off Restarting Failed Container,backoff,Container fails repeatedly and Kubernetes increases wait time between restarts,"Check application logs, fix startup issues, or increase startupProbe initialDelaySeconds",kubectl logs <pod-name> | kubectl logs <pod-name> --tail=50 | kubectl describe pod <pod-name>
8,Container in Error State,error,Generic container error - application exited with non-zero status,"Review application logs, check exit code, verify environment variables and configuration",kubectl logs <pod-name> | kubectl describe pod <pod-name> | kubectl exec -it <pod-name> -- /bin/sh
9,CPU Throttling,cpu throttle,Pod CPU usage exceeds limits and is being throttled,Increase CPU limits or optimize application performance,kubectl top pod <pod-name> | kubectl set resources deployment <name> --limits=cpu=1000m | kubectl describe pod <pod-name>
10,Connection Refused,connection refused,Application cannot connect to service or external resource,"Verify service exists, DNS resolution works, firewall rules, or network policies",kubectl get svc | kubectl get networkpolicies | kubectl exec -it <pod-name> -- nslookup <service-name> | kubectl logs <pod-name>
